sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
512,0.1,0.2,0.2,0.0,0.0,"[30, 6]",24,3e-05,2,5,1,1,0.2,0.4,0.4,0.8,5,0.005,0.8222,0.821,0.843,0.8425,0.5015,0.4446,0.7455,0.7879,0.7418
512,0.0,0.1,0.1,0.0,0.0,"[50, 10]",16,5e-05,4,5,5,1,0.3,0.3,0.3,0.6,5,0.005,0.8192,0.8193,0.8354,0.836,0.5102,0.4431,0.7487,0.7892,0.748
512,0.0,0.0,0.1,0.1,0.0,"[36, 6]",24,4e-05,2,3,3,3,0.2,0.2,0.2,0.6,5,0.005,0.8032,0.8034,0.8201,0.8209,0.5087,0.4402,0.7596,0.7832,0.7575
1024,0.1,0.1,0.0,0.0,0.1,"[36, 6]",16,4e-05,4,3,1,5,0.4,0.2,0.3,1.0,5,0.005,0.8163,0.8157,0.8338,0.8338,0.5044,0.4402,0.7434,0.7833,0.7426
512,0.1,0.0,0.0,0.1,0.2,"[30, 10]",24,5e-05,2,5,1,1,0.1,0.3,0.4,0.8,5,0.005,0.809,0.8092,0.8262,0.827,0.5073,0.4417,0.7672,0.774,0.7642
256,0.1,0.2,0.2,0.2,0.1,"[40, 5]",24,5e-05,6,1,1,3,0.3,0.1,0.3,1.0,5,0.005,0.8251,0.8246,0.8445,0.8447,0.5,0.4315,0.7698,0.7743,0.7676
1024,0.2,0.0,0.0,0.0,0.1,"[30, 6]",16,4e-05,4,1,1,3,0.3,0.5,0.1,0.8,5,0.005,0.8163,0.8157,0.8354,0.8354,0.5321,0.4621,0.7361,0.788,0.7355
256,0.2,0.0,0.2,0.2,0.0,"[32, 8]",24,5e-05,2,5,1,1,0.3,0.1,0.4,0.6,5,0.005,0.8236,0.8233,0.8399,0.8401,0.519,0.4504,0.7429,0.7929,0.7396
256,0.0,0.2,0.1,0.0,0.0,"[40, 8]",16,3e-05,2,1,1,5,0.5,0.4,0.3,1.0,5,0.005,0.8251,0.8239,0.8476,0.8472,0.4913,0.4329,0.7566,0.7886,0.7559
256,0.0,0.1,0.1,0.2,0.2,"[30, 6]",24,3e-05,2,1,5,3,0.5,0.2,0.5,0.8,5,0.005,0.8163,0.8153,0.8399,0.8397,0.519,0.4534,0.7602,0.7726,0.7566
1024,0.2,0.1,0.1,0.0,0.2,"[50, 10]",24,4e-05,2,5,1,5,0.2,0.3,0.5,1.0,5,0.005,0.8149,0.8141,0.8354,0.8353,0.5058,0.4388,0.7406,0.7911,0.7377
256,0.2,0.2,0.0,0.2,0.2,"[36, 6]",24,4e-05,2,3,1,3,0.5,0.3,0.4,0.6,5,0.005,0.8192,0.8192,0.8369,0.8374,0.5204,0.4461,0.7534,0.7862,0.7519
256,0.2,0.1,0.2,0.2,0.1,"[36, 6]",24,5e-05,4,1,5,3,0.2,0.5,0.3,0.8,5,0.005,0.8309,0.8291,0.8506,0.8495,0.519,0.4475,0.7245,0.7913,0.7226
1024,0.1,0.0,0.1,0.1,0.1,"[40, 5]",16,3e-05,2,1,5,1,0.5,0.3,0.1,0.8,5,0.005,0.812,0.8117,0.8308,0.8311,0.5248,0.4592,0.7535,0.7832,0.753
512,0.1,0.1,0.2,0.1,0.0,"[50, 10]",24,4e-05,4,3,1,3,0.2,0.2,0.3,0.8,5,0.005,0.8163,0.8162,0.8354,0.8358,0.5146,0.4475,0.736,0.7877,0.7318
1024,0.2,0.0,0.0,0.1,0.0,"[30, 6]",24,4e-05,4,1,1,1,0.2,0.5,0.3,0.6,5,0.005,0.8163,0.8153,0.8384,0.8382,0.4927,0.4329,0.7456,0.7841,0.7413
1024,0.2,0.2,0.2,0.1,0.0,"[30, 10]",16,4e-05,2,3,3,1,0.1,0.1,0.5,1.0,5,0.005,0.8105,0.8104,0.8247,0.8251,0.4913,0.4329,0.7854,0.7773,0.7845
